"U:0","U:1","U:2","arc_length","p","total(p)","Points:0","Points:1","Points:2"
0.17617,-0.023183,3.0553e-22,0,3.9091,4.7004,0.6,-0.2,0
0.65628,-6.5766e-05,-1.5618e-22,0.002,3.8873,4.9251,0.6,-0.198,0
0.74065,-0.00014433,-2.502e-22,0.004,3.8669,4.9709,0.6,-0.196,0
0.7839,-0.00012076,-2.4897e-22,0.006,3.8497,4.9895,0.6,-0.194,0
0.81755,-0.00032334,-5.4792e-23,0.008,3.831,4.9989,0.6,-0.192,0
0.8464,-0.00063907,2.3594e-22,0.01,3.8114,5.0037,0.6,-0.19,0
0.86651,-0.00057454,9.897e-23,0.012,3.7917,5.0009,0.6,-0.188,0
0.88511,-0.00058292,-3.8718e-23,0.014,3.7721,4.9968,0.6,-0.186,0
0.90069,-0.00073699,-1.7785e-22,0.016,3.7525,4.9899,0.6,-0.184,0
0.91436,-0.00081044,-4.5778e-23,0.018,3.7329,4.9813,0.6,-0.182,0
0.92706,-0.00084357,2.2199e-22,0.02,3.7133,4.9717,0.6,-0.18,0
0.93747,-0.00093342,9.1894e-23,0.022,3.6937,4.9598,0.6,-0.178,0
0.94721,-0.0010137,-3.8456e-23,0.024,3.674,4.9472,0.6,-0.176,0
0.95561,-0.0010748,-1.693e-22,0.026,3.6544,4.9333,0.6,-0.174,0
0.96286,-0.0011429,-4.2354e-23,0.028,3.6348,4.918,0.6,-0.172,0
0.96953,-0.0012146,2.1359e-22,0.03,3.6151,4.9022,0.6,-0.17,0
0.97462,-0.0012748,8.803e-23,0.032,3.5955,4.8846,0.6,-0.168,0
0.97923,-0.0013318,-3.7619e-23,0.034,3.5759,4.8664,0.6,-0.166,0
0.98288,-0.0013827,-1.6345e-22,0.036,3.5562,4.8471,0.6,-0.164,0
0.98573,-0.0014223,-4.088e-23,0.038,3.5366,4.8269,0.6,-0.162,0
0.98818,-0.0014562,2.0599e-22,0.04,3.5169,4.8062,0.6,-0.16,0
0.98977,-0.0014745,8.5008e-23,0.042,3.4973,4.7845,0.6,-0.158,0
0.99116,-0.0014879,-3.6074e-23,0.044,3.4776,4.7626,0.6,-0.156,0
0.99217,-0.0014912,-1.5736e-22,0.046,3.458,4.7402,0.6,-0.154,0
0.99293,-0.0014866,-3.9048e-23,0.048,3.4384,4.7176,0.6,-0.152,0
0.99356,-0.001478,1.9916e-22,0.05,3.4187,4.6947,0.6,-0.15,0
0.99393,-0.0014585,8.1987e-23,0.052,3.3991,4.6716,0.6,-0.148,0
0.99424,-0.001436,-3.5195e-23,0.054,3.3794,4.6484,0.6,-0.146,0
0.99442,-0.0014073,-1.524e-22,0.056,3.3598,4.6251,0.6,-0.144,0
0.99451,-0.0013736,-3.7619e-23,0.058,3.3402,4.6016,0.6,-0.142,0
0.99455,-0.0013374,1.9324e-22,0.06,3.3205,4.5781,0.6,-0.14,0
0.9945,-0.0012946,7.9563e-23,0.062,3.3009,4.5545,0.6,-0.138,0
0.99441,-0.0012498,3.038e-24,0.064,3.2812,4.5308,0.6,-0.136,0
0.99427,-0.0012009,7.6138e-25,0.066,3.2616,4.5071,0.6,-0.134,0
0.99409,-0.0011489,7.5013e-23,0.068,3.242,4.4833,0.6,-0.132,0
0.99388,-0.0010952,1.8756e-22,0.07,3.2224,4.4595,0.6,-0.13,0
0.99362,-0.0010374,2.0397e-23,0.072,3.2027,4.4356,0.6,-0.128,0
0.99334,-0.0009783,-7.2786e-23,0.074,3.1831,4.4118,0.6,-0.126,0
0.99301,-0.00091651,-1.8118e-23,0.076,3.1635,4.3878,0.6,-0.124,0
0.99265,-0.00085208,7.705e-25,0.078,3.1439,4.3639,0.6,-0.122,0
0.99226,-0.00078634,1.756e-24,0.08,3.1242,4.3398,0.6,-0.12,0
0.9918,-0.00071643,-5.236e-23,0.082,3.1046,4.3158,0.6,-0.118,0
0.99131,-0.0006449,-7.0357e-23,0.084,3.085,4.2916,0.6,-0.116,0
0.99076,-0.00057016,-1.6173e-23,0.086,3.0654,4.2674,0.6,-0.114,0
0.99013,-0.00049182,1.8992e-24,0.088,3.0458,4.2432,0.6,-0.112,0
0.98947,-0.00041169,1.9028e-24,0.09,3.0262,4.2188,0.6,-0.11,0
0.98866,-0.00032458,1.9072e-24,0.092,3.0065,4.1943,0.6,-0.108,0
0.98778,-0.000234,1.912e-24,0.094,2.9869,4.1697,0.6,-0.106,0
0.98679,-0.00013648,1.9173e-24,0.096,2.9673,4.145,0.6,-0.104,0
0.98562,-2.8894e-05,3.6162e-23,0.098,2.9477,4.1201,0.6,-0.102,0
0.98436,8.3721e-05,8.7539e-23,0.1,2.9281,4.0951,0.6,-0.1,0
0.98276,0.00021851,3.5893e-23,0.102,2.9084,4.0696,0.6,-0.098,0
0.981,0.00036443,-1.5657e-23,0.104,2.8888,4.044,0.6,-0.096,0
0.97892,0.00053261,-6.7015e-23,0.106,2.8692,4.018,0.6,-0.094,0
0.97639,0.00073295,-4.9696e-23,0.108,2.8495,3.9915,0.6,-0.092,0
0.97363,0.00094936,1.9629e-24,0.11,2.8299,3.9647,0.6,-0.09,0
0.96997,0.0012312,5.2149e-23,0.112,2.8103,3.9368,0.6,-0.088,0
0.96591,0.0015403,6.8781e-23,0.114,2.7906,3.9086,0.6,-0.086,0
0.96106,0.0019041,1.831e-23,0.116,2.771,3.8794,0.6,-0.084,0
0.95525,0.0023302,1.1036e-24,0.118,2.7514,3.8492,0.6,-0.082,0
0.94895,0.0027874,5.2986e-25,0.12,2.7318,3.8185,0.6,-0.08,0
0.94105,0.0033406,5.0411e-23,0.122,2.7122,3.786,0.6,-0.078,0
0.9326,0.0039235,6.6931e-23,0.124,2.6926,3.7531,0.6,-0.076,0
0.92309,0.0045658,1.6733e-23,0.126,2.6731,3.719,0.6,-0.074,0
0.91264,0.0052563,-3.2617e-23,0.128,2.6535,3.6841,0.6,-0.072,0
0.90172,0.005971,-8.1545e-23,0.13,2.634,3.6488,0.6,-0.07,0
0.88976,0.0067328,-8.093e-23,0.132,2.6146,3.6126,0.6,-0.068,0
0.87762,0.0074994,-6.4005e-23,0.134,2.5951,3.5764,0.6,-0.066,0
0.8651,0.0082753,-1.446e-23,0.136,2.5757,3.54,0.6,-0.064,0
0.85255,0.0090354,3.4338e-23,0.138,2.5563,3.5038,0.6,-0.062,0
0.83997,0.0097875,8.2763e-23,0.14,2.5369,3.4677,0.6,-0.06,0
0.82779,0.010478,8.2144e-23,0.142,2.5175,3.4323,0.6,-0.058,0
0.81585,0.011136,6.5385e-23,0.144,2.4982,3.3973,0.6,-0.056,0
0.80442,0.011732,1.6347e-23,0.146,2.4788,3.363,0.6,-0.054,0
0.79365,0.01225,-3.1815e-23,0.148,2.4595,3.3295,0.6,-0.052,0
0.78321,0.012729,-7.9538e-23,0.15,2.4402,3.2964,0.6,-0.05,0
0.77387,0.013081,-7.8895e-23,0.152,2.4209,3.2645,0.6,-0.048,0
0.7649,0.013391,-1.5289e-23,0.154,2.4015,3.233,0.6,-0.046,0
0.75668,0.013618,1.7423e-22,0.156,2.3822,3.2023,0.6,-0.044,0
0.74914,0.01377,2.3611e-22,0.158,2.3629,3.1723,0.6,-0.042,0
0.74194,0.013884,2.3417e-22,0.16,2.3435,3.1426,0.6,-0.04,0
0.73566,0.013905,-9.3821e-23,0.162,2.3241,3.1138,0.6,-0.038,0
0.72962,0.013902,-2.5059e-22,0.164,2.3048,3.0853,0.6,-0.036,0
0.72408,0.013852,-6.4964e-23,0.166,2.2854,3.0571,0.6,-0.034,0
0.71892,0.013769,2.9626e-23,0.168,2.266,3.0294,0.6,-0.032,0
0.71396,0.01367,7.8693e-23,0.17,2.2465,3.0018,0.6,-0.03,0
0.70942,0.013544,-1.0497e-22,0.172,2.2271,2.9746,0.6,-0.028,0
0.70496,0.013417,-1.6674e-22,0.174,2.2077,2.9475,0.6,-0.026,0
0.70068,0.013284,1.5275e-23,0.176,2.1882,2.9205,0.6,-0.024,0
0.6965,0.013156,1.0464e-22,0.178,2.1687,2.8937,0.6,-0.022,0
0.69236,0.013031,1.4769e-22,0.18,2.1493,2.8668,0.6,-0.02,0
0.68826,0.012926,1.0211e-22,0.182,2.1298,2.8401,0.6,-0.018,0
0.68415,0.012831,4.2717e-23,0.184,2.1103,2.8133,0.6,-0.016,0
0.68002,0.012755,-4.4296e-23,0.186,2.0908,2.7865,0.6,-0.014,0
0.67584,0.012704,-7.2853e-23,0.188,2.0713,2.7597,0.6,-0.012,0
0.67164,0.012666,-7.218e-23,0.19,2.0518,2.7329,0.6,-0.01,0
0.66733,0.012669,-2.8872e-23,0.192,2.0323,2.706,0.6,-0.008,0
0.663,0.012687,0,0.194,2.0128,2.6792,0.6,-0.006,0
0.65859,0.012735,0,0.196,1.9933,2.6523,0.6,-0.004,0
0.65414,0.012814,0,0.198,1.9737,2.6254,0.6,-0.002,0
0.64967,0.012908,0,0.2,1.9542,2.5984,0.6,0,0
0.64517,0.013049,0,0.202,1.9347,2.5716,0.6,0.002,0
0.64067,0.013204,0,0.204,1.9153,2.5447,0.6,0.004,0
0.6362,0.013387,0,0.206,1.8958,2.5179,0.6,0.006,0
0.63181,0.013597,-2.5837e-23,0.208,1.8763,2.4912,0.6,0.008,0
0.62745,0.01382,-6.4594e-23,0.21,1.8568,2.4645,0.6,0.01,0
0.62329,0.014075,-6.3903e-23,0.212,1.8373,2.438,0.6,0.012,0
0.61923,0.01434,-3.7771e-23,0.214,1.8179,2.4117,0.6,0.014,0
0.61536,0.014621,3.9241e-23,0.216,1.7984,2.3855,0.6,0.016,0
0.61173,0.014914,8.9082e-23,0.218,1.779,2.3595,0.6,0.018,0
0.60824,0.015213,1.2534e-22,0.22,1.7596,2.3336,0.6,0.02,0
0.60518,0.015521,8.6386e-23,0.222,1.7402,2.3081,0.6,0.022,0
0.60229,0.01583,1.2239e-23,0.224,1.7208,2.2827,0.6,0.024,0
0.59974,0.016142,-1.323e-22,0.226,1.7014,2.2576,0.6,0.026,0
0.59754,0.016452,-8.5906e-23,0.228,1.682,2.2328,0.6,0.028,0
0.59552,0.016761,5.5954e-23,0.23,1.6626,2.2081,0.6,0.03,0
0.59406,0.017066,2.5224e-23,0.232,1.6433,2.1839,0.6,0.032,0
0.59278,0.017369,-4.1861e-23,0.234,1.624,2.1598,0.6,0.034,0
0.59187,0.017668,-1.8165e-22,0.236,1.6046,2.1359,0.6,0.036,0
0.59135,0.017962,-6.9602e-23,0.238,1.5853,2.1124,0.6,0.038,0
0.59102,0.018255,1.6837e-22,0.24,1.566,2.089,0.6,0.04,0
0.59129,0.018542,1.6631e-22,0.242,1.5467,2.0661,0.6,0.042,0
0.59178,0.018826,1.2109e-22,0.244,1.5275,2.0433,0.6,0.044,0
0.59271,0.019103,-1.0444e-23,0.246,1.5082,2.0209,0.6,0.046,0
0.59411,0.019373,-5.3834e-23,0.248,1.489,1.9988,0.6,0.048,0
0.59575,0.019637,-5.3151e-23,0.25,1.4697,1.9769,0.6,0.05,0
0.59821,0.019883,-2.126e-23,0.252,1.4505,1.9556,0.6,0.052,0
0.60098,0.020118,9.593e-24,0.254,1.4313,1.9345,0.6,0.054,0
0.60437,0.020335,3.8371e-23,0.256,1.4121,1.914,0.6,0.056,0
0.60845,0.020527,4.7521e-23,0.258,1.3929,1.8939,0.6,0.058,0
0.61288,0.020706,4.6856e-23,0.26,1.3738,1.8742,0.6,0.06,0
0.61849,0.02084,1.7418e-23,0.262,1.3546,1.8554,0.6,0.062,0
0.62453,0.020958,-1.0941e-23,0.264,1.3355,1.8369,0.6,0.064,0
0.63143,0.021041,-3.7142e-23,0.266,1.3163,1.8191,0.6,0.066,0
0.63926,0.021089,-4.5436e-23,0.268,1.2972,1.8021,0.6,0.068,0
0.64755,0.021118,-4.4776e-23,0.27,1.278,1.7855,0.6,0.07,0
0.65729,0.021091,-1.791e-23,0.272,1.2589,1.7702,0.6,0.072,0
0.66751,0.021046,7.8379e-24,0.274,1.2398,1.7554,0.6,0.074,0
0.67869,0.020962,3.135e-23,0.276,1.2206,1.7414,0.6,0.076,0
0.69075,0.020837,2.3702e-23,0.278,1.2014,1.7284,0.6,0.078,0
0.70326,0.020692,4.7194e-25,0.28,1.1822,1.7158,0.6,0.08,0
0.7169,0.020483,-1.3447e-24,0.282,1.163,1.7044,0.6,0.082,0
0.73081,0.020251,4.9824e-24,0.284,1.1438,1.6934,0.6,0.084,0
0.74529,0.019974,2.7596e-23,0.286,1.1246,1.6832,0.6,0.086,0
0.76009,0.019654,2.0263e-23,0.288,1.1053,1.6734,0.6,0.088,0
0.77505,0.019311,-2.0439e-24,0.29,1.086,1.664,0.6,0.09,0
0.79015,0.018909,-2.116e-23,0.292,1.0667,1.655,0.6,0.092,0
0.80518,0.018492,-2.7588e-23,0.294,1.0473,1.6461,0.6,0.094,0
0.82007,0.018043,-8.644e-24,0.296,1.0279,1.6374,0.6,0.096,0
0.8346,0.017572,1.0427e-23,0.298,1.0085,1.6285,0.6,0.098,0
0.84894,0.017091,2.956e-23,0.3,0.98902,1.6195,0.6,0.1,0
0.86243,0.016588,1.063e-23,0.302,0.9695,1.61,0.6,0.102,0
0.87553,0.016082,-1.9861e-24,0.304,0.94995,1.6001,0.6,0.104,0
0.88788,0.01557,-1.9807e-24,0.306,0.93037,1.5897,0.6,0.106,0
0.89934,0.015055,-1.9757e-24,0.308,0.91075,1.5784,0.6,0.108,0
0.91035,0.01454,-1.9709e-24,0.31,0.89111,1.5668,0.6,0.11,0
0.91991,0.014027,-1.9665e-24,0.312,0.87143,1.5536,0.6,0.112,0
0.92897,0.013517,-6.6608e-24,0.314,0.85172,1.54,0.6,0.114,0
0.93707,0.013015,-2.0745e-23,0.316,0.83199,1.5254,0.6,0.116,0
0.94426,0.012525,-1.6096e-23,0.318,0.81224,1.5098,0.6,0.118,0
0.95101,0.012042,-2.0734e-24,0.32,0.79247,1.4937,0.6,0.12,0
0.95656,0.011585,-7.5721e-25,0.322,0.77266,1.4763,0.6,0.122,0
0.96178,0.01114,-4.3592e-24,0.324,0.75285,1.4585,0.6,0.124,0
0.96633,0.010716,-1.779e-23,0.326,0.73303,1.44,0.6,0.126,0
0.97033,0.010316,1.979e-24,0.328,0.7132,1.4208,0.6,0.128,0
0.97405,0.009929,3.836e-23,0.33,0.69335,1.4014,0.6,0.13,0
0.9771,0.0095788,1.544e-23,0.332,0.6735,1.3811,0.6,0.132,0
0.97997,0.0092408,-6.6234e-25,0.334,0.65365,1.3606,0.6,0.134,0
0.98247,0.0089273,-3.1377e-24,0.336,0.63379,1.3398,0.6,0.136,0
0.98467,0.0086372,1.0553e-23,0.338,0.61394,1.3185,0.6,0.138,0
0.98673,0.0083588,3.2333e-23,0.34,0.59408,1.2971,0.6,0.14,0
0.98842,0.0081125,-7.4794e-24,0.342,0.57422,1.2753,0.6,0.142,0
0.99001,0.0078758,-2.7983e-23,0.344,0.55437,1.2534,0.6,0.144,0
0.9914,0.0076581,-9.8965e-24,0.346,0.53453,1.2312,0.6,0.146,0
0.99262,0.0074574,8.2265e-24,0.348,0.51469,1.2088,0.6,0.148,0
0.99376,0.0072654,2.6368e-23,0.35,0.49485,1.1864,0.6,0.15,0
0.9947,0.0070958,-6.3187e-24,0.352,0.47502,1.1637,0.6,0.152,0
0.99557,0.0069326,-2.3249e-23,0.354,0.45519,1.141,0.6,0.154,0
0.99633,0.0067821,-8.6891e-24,0.356,0.43537,1.1181,0.6,0.156,0
0.99699,0.0066428,5.9115e-24,0.358,0.41556,1.0951,0.6,0.158,0
0.9976,0.006509,2.0532e-23,0.36,0.39574,1.072,0.6,0.16,0
0.99807,0.0063896,-5.0401e-24,0.362,0.37594,1.0488,0.6,0.162,0
0.99851,0.0062743,-1.8444e-23,0.364,0.35614,1.0256,0.6,0.164,0
0.99887,0.0061671,-7.5305e-24,0.366,0.33634,1.0023,0.6,0.166,0
0.99916,0.0060676,3.4848e-24,0.368,0.31655,0.97887,0.6,0.168,0
0.99942,0.0059718,1.4551e-23,0.37,0.29676,0.95544,0.6,0.17,0
0.99961,0.0058867,-3.6532e-24,0.372,0.27697,0.93192,0.6,0.172,0
0.99978,0.0058049,-1.3373e-23,0.374,0.25719,0.90838,0.6,0.174,0
0.99991,0.0057297,-6.1377e-24,0.376,0.23741,0.8848,0.6,0.176,0
1,0.0056612,1.2053e-24,0.378,0.21762,0.86119,0.6,0.178,0
1.0001,0.0055961,8.602e-24,0.38,0.19784,0.83756,0.6,0.18,0
1.0002,0.005541,-2.4774e-24,0.382,0.17806,0.8139,0.6,0.182,0
1.0002,0.0054892,-8.5657e-24,0.384,0.15827,0.79023,0.6,0.184,0
1.0003,0.0054439,-4.6794e-24,0.386,0.1385,0.76654,0.6,0.186,0
1.0003,0.0054052,-7.3552e-25,0.388,0.11871,0.74284,0.6,0.188,0
1.0003,0.0053699,3.2372e-24,0.39,0.098927,0.71913,0.6,0.19,0
1.0004,0.0053438,-1.4863e-24,0.392,0.079141,0.69541,0.6,0.192,0
1.0004,0.0053197,-4.6492e-24,0.394,0.059355,0.6717,0.6,0.194,0
1.0004,0.0052995,-4.6937e-24,0.396,0.039571,0.64798,0.6,0.196,0
1.0004,0.0052865,-4.1377e-24,0.398,0.023081,0.6282,0.6,0.198,0
1.0004,0.0052771,-3.2814e-24,0.4,0.0082404,0.61041,0.6,0.2,0
